Date,COVID-19 Hospitalizations
2024-06-01,5304.0
2024-06-08,5304.0
2024-06-15,6298.5
2024-06-22,6961.5
2024-06-29,8950.5
2024-07-06,10276.5
2024-07-13,10939.5
2024-07-20,11271.0
2024-07-27,13923.0
2024-08-03,14917.5
2024-08-10,16243.500000000002
2024-08-17,15912.0
2024-08-24,14917.5
2024-08-31,13923.0
2024-09-07,13591.499999999998
2024-09-14,14586.000000000002
2024-09-21,12597.0
2024-09-28,11271.0
2024-10-05,9945.0
2024-10-12,8287.5
2024-10-19,6961.5
2024-10-26,6961.5
2024-11-02,5967.0
2024-11-09,5635.5
2024-11-16,5304.0
2024-11-23,5635.5
2024-11-30,5967.0
2024-12-07,6961.5
2024-12-14,7624.499999999999
2024-12-21,8950.5
2024-12-28,11271.0
2025-01-04,13591.499999999998
2025-01-11,11271.0
2025-01-18,9613.5
2025-01-25,6630.0
